"","hh_id","plot_id","fertilizer","application_time","application_amount"
"1",126976,647012,"urea",0,60
"4",656603,844428,"urea",0,20
"5",529507,457295,"urea",0,50
"6",319821,513004,"urea",0,50
"7",359000,637496,"urea",0,60
"8",539766,788962,"urea",0,100
"9",163386,760643,"urea",0,60
"10",752509,169847,"urea",0,120
"11",966330,899239,"urea",0,40
"12",312144,147892,"urea",0,36
"13",231921,911982,"urea",0,50
"14",819424,971078,"urea",0,50
"15",343966,669832,"urea",0,30
"16",989604,850377,"urea",0,50
"19",601197,831773,"urea",0,18.5
"20",701245,454942,"urea",0,40
"21",866138,116809,"urea",0,20
"22",307795,984155,"urea",0,30
"23",404340,500355,"urea",0,24
"25",214489,628521,"urea",0,28
"26",271463,467651,"urea",0,10
"27",931416,491794,"urea",0,30
"28",510023,933434,"urea",0,18
"29",217532,947264,"urea",0,20
"30",911722,864898,"urea",0,24
"31",493788,228303,"urea",0,10
"32",181455,850042,"urea",0,14
"33",987139,660169,"urea",0,25
"34",668964,441628,"urea",0,15
"36",689215,277775,"urea",0,20
"37",706764,517282,"urea",0,36
"38",890132,737870,"urea",0,32
"39",585854,203436,"urea",0,16
"40",486894,651699,"urea",0,14
"41",775358,933023,"urea",0,40
"42",216595,976571,"urea",0,11
"43",402800,679360,"urea",0,20
"44",837515,668058,"urea",0,18
"45",349892,918584,"urea",0,28
"46",448625,465649,"urea",0,10
"47",884107,394224,"urea",0,10
"48",558297,723409,"urea",0,20
"49",589045,602406,"urea",0,12
"50",612697,178658,"urea",0,20
"51",225120,673671,"urea",0,6
"52",887695,983654,"urea",0,16
"53",142695,975145,"urea",0,32
"54",649397,118389,"urea",0,10
"55",438040,254463,"urea",0,15
"56",721244,415918,"urea",0,10
"57",335549,233735,"urea",0,10
"58",385705,406454,"urea",0,6
"59",419515,929208,"urea",0,5
"60",631911,441644,"urea",0,20
"61",533763,625498,"urea",0,20
"62",138745,287346,"urea",0,50
"63",427202,138641,"urea",0,4
"64",381285,957140,"urea",0,4
"72",714058,109225,"urea",0,10.5
"73",398708,838324,"urea",0,60
"75",345462,923882,"urea",0,15
"76",867861,447588,"urea",0,40
"77",139502,235530,"urea",0,8
"78",332608,472852,"urea",0,4
"79",614229,636466,"urea",0,1.5
"80",544785,995178,"urea",0,10
