"","hh_id","plot_id","variable","value"
"1",126976,647012,"agri_income_importance",10
"2",872818,745005,"agri_income_importance",5
"3",965954,635980,"agri_income_importance",0
"4",656603,844428,"agri_income_importance",0
"5",529507,457295,"agri_income_importance",30
"6",319821,513004,"agri_income_importance",40
"7",359000,637496,"agri_income_importance",70
"8",539766,788962,"agri_income_importance",30
"9",163386,760643,"agri_income_importance",80
"10",752509,169847,"agri_income_importance",70
"11",966330,899239,"agri_income_importance",10
"12",312144,147892,"agri_income_importance",70
"13",231921,911982,"agri_income_importance",80
"14",819424,971078,"agri_income_importance",40
"15",343966,669832,"agri_income_importance",60
"16",989604,850377,"agri_income_importance",40
"17",690123,935541,"agri_income_importance",40
"18",148434,488589,"agri_income_importance",30
"19",601197,831773,"agri_income_importance",40
"20",701245,454942,"agri_income_importance",20
"21",866138,116809,"agri_income_importance",0
"22",307795,984155,"agri_income_importance",50
"23",404340,500355,"agri_income_importance",5
"24",650170,229467,"agri_income_importance",10
"25",214489,628521,"agri_income_importance",20
"26",271463,467651,"agri_income_importance",20
"27",931416,491794,"agri_income_importance",20
"28",510023,933434,"agri_income_importance",40
"29",217532,947264,"agri_income_importance",40
"30",911722,864898,"agri_income_importance",30
"31",493788,228303,"agri_income_importance",10
"32",181455,850042,"agri_income_importance",30
"33",987139,660169,"agri_income_importance",10
"34",668964,441628,"agri_income_importance",20
"35",619955,787382,"agri_income_importance",40
"36",689215,277775,"agri_income_importance",40
"37",706764,517282,"agri_income_importance",70
"38",890132,737870,"agri_income_importance",40
"39",585854,203436,"agri_income_importance",20
"40",486894,651699,"agri_income_importance",20
"41",775358,933023,"agri_income_importance",30
"42",216595,976571,"agri_income_importance",10
"43",402800,679360,"agri_income_importance",20
"44",837515,668058,"agri_income_importance",10
"45",349892,918584,"agri_income_importance",30
"46",448625,465649,"agri_income_importance",50
"47",884107,394224,"agri_income_importance",5
"48",558297,723409,"agri_income_importance",20
"49",589045,602406,"agri_income_importance",20
"50",612697,178658,"agri_income_importance",0
"51",225120,673671,"agri_income_importance",10
"52",887695,983654,"agri_income_importance",20
"53",142695,975145,"agri_income_importance",30
"54",649397,118389,"agri_income_importance",20
"55",438040,254463,"agri_income_importance",10
"56",721244,415918,"agri_income_importance",20
"57",335549,233735,"agri_income_importance",20
"58",385705,406454,"agri_income_importance",30
"59",419515,929208,"agri_income_importance",20
"60",631911,441644,"agri_income_importance",50
"61",533763,625498,"agri_income_importance",30
"62",138745,287346,"agri_income_importance",20
"63",427202,138641,"agri_income_importance",50
"64",381285,957140,"agri_income_importance",0
"65",448116,753114,"agri_income_importance",10
"66",226246,486041,"agri_income_importance",30
"67",745946,937106,"agri_income_importance",30
"68",334201,141036,"agri_income_importance",10
"69",334650,829429,"agri_income_importance",20
"70",875088,619920,"agri_income_importance",0
"71",535288,827488,"agri_income_importance",0
"72",714058,109225,"agri_income_importance",20
"73",398708,838324,"agri_income_importance",60
"74",964670,795036,"agri_income_importance",0
"75",345462,923882,"agri_income_importance",10
"76",867861,447588,"agri_income_importance",40
"77",139502,235530,"agri_income_importance",100
"78",332608,472852,"agri_income_importance",80
"79",614229,636466,"agri_income_importance",0
"80",544785,995178,"agri_income_importance",0
"81",549334,402281,"agri_income_importance",30
"82",675971,374447,"agri_income_importance",40
"83",543646,683690,"agri_income_importance",60
"84",357464,969688,"agri_income_importance",30
"85",676034,785215,"agri_income_importance",70
"86",634148,328772,"agri_income_importance",30
