"","hh_id","plot_id","variable","value"
"1",126976,647012,"ownership","Owned"
"2",872818,745005,"ownership","Owned"
"3",965954,635980,"ownership","Owned"
"4",656603,844428,"ownership","Owned"
"5",529507,457295,"ownership","Owned"
"6",319821,513004,"ownership","Owned"
"7",359000,637496,"ownership","Owned"
"8",539766,788962,"ownership","Owned"
"9",163386,760643,"ownership","Owned"
"10",752509,169847,"ownership","Owned"
"11",966330,899239,"ownership","Owned"
"12",312144,147892,"ownership","Owned"
"13",231921,911982,"ownership","Owned"
"14",819424,971078,"ownership","Owned"
"15",343966,669832,"ownership","Owned"
"16",989604,850377,"ownership","Owned"
"17",690123,935541,"ownership","Owned"
"18",148434,488589,"ownership","Owned"
"19",601197,831773,"ownership","Leased"
"20",701245,454942,"ownership","Owned"
"21",866138,116809,"ownership","Leased"
"22",307795,984155,"ownership","Leased"
"23",404340,500355,"ownership","Owned"
"24",650170,229467,"ownership","Owned"
"25",214489,628521,"ownership","Leased"
"26",271463,467651,"ownership","Leased"
"27",931416,491794,"ownership","Leased"
"28",510023,933434,"ownership","Leased"
"29",217532,947264,"ownership","Owned"
"30",911722,864898,"ownership","Owned"
"31",493788,228303,"ownership","Owned"
"32",181455,850042,"ownership","Owned"
"33",987139,660169,"ownership","Leased"
"34",668964,441628,"ownership","Leased"
"35",619955,787382,"ownership","Owned"
"36",689215,277775,"ownership","Leased"
"37",706764,517282,"ownership","Leased"
"38",890132,737870,"ownership","Leased"
"39",585854,203436,"ownership","Owned"
"40",486894,651699,"ownership","Owned"
"41",775358,933023,"ownership","Leased"
"42",216595,976571,"ownership","Owned"
"43",402800,679360,"ownership","Owned"
"44",837515,668058,"ownership","Owned"
"45",349892,918584,"ownership","Owned"
"46",448625,465649,"ownership","Owned"
"47",884107,394224,"ownership","Leased"
"48",558297,723409,"ownership","Owned"
"49",589045,602406,"ownership","Owned"
"50",612697,178658,"ownership","Owned"
"51",225120,673671,"ownership","Owned"
"52",887695,983654,"ownership","Leased"
"53",142695,975145,"ownership","Owned"
"54",649397,118389,"ownership","Leased"
"55",438040,254463,"ownership","Leased"
"56",721244,415918,"ownership","Owned"
"57",335549,233735,"ownership","Owned"
"58",385705,406454,"ownership","Owned"
"59",419515,929208,"ownership","Owned"
"60",631911,441644,"ownership","Owned"
"61",533763,625498,"ownership","Owned"
"62",138745,287346,"ownership","Leased"
"63",427202,138641,"ownership","Owned"
"64",381285,957140,"ownership","Owned"
"65",448116,753114,"ownership","Owned"
"66",226246,486041,"ownership","Owned"
"67",745946,937106,"ownership","Owned"
"68",334201,141036,"ownership","Owned"
"69",334650,829429,"ownership","Owned"
"70",875088,619920,"ownership","Owned"
"71",535288,827488,"ownership","Owned"
"72",714058,109225,"ownership","Owned"
"73",398708,838324,"ownership","Owned"
"74",964670,795036,"ownership","Owned"
"75",345462,923882,"ownership","Leased"
"76",867861,447588,"ownership","FarmedContract"
"77",139502,235530,"ownership","Leased"
"78",332608,472852,"ownership","Leased"
"79",614229,636466,"ownership","Owned"
"80",544785,995178,"ownership","Owned"
"81",549334,402281,"ownership","Owned"
"82",675971,374447,"ownership","Owned"
"83",543646,683690,"ownership","Leased"
"84",357464,969688,"ownership","Owned"
"85",676034,785215,"ownership","Owned"
