"","hh_id","plot_id","variable","value"
"1",126976,647012,"drought_growth_stage","PanicIenitiation Heading_PanicleEmergence"
"2",872818,745005,"drought_growth_stage","Tillering"
"3",965954,635980,"drought_growth_stage","Tillering"
"4",656603,844428,"drought_growth_stage","BootLeafStage Heading_PanicleEmergence"
"5",529507,457295,"drought_growth_stage","TilleringInitiation Tillering PanicIenitiation"
"6",319821,513004,"drought_growth_stage","TilleringInitiation Tillering PanicIenitiation"
"7",359000,637496,"drought_growth_stage","TilleringInitiation Tillering PanicIenitiation"
"8",539766,788962,"drought_growth_stage","TilleringInitiation Tillering PanicIenitiation"
"9",163386,760643,"drought_growth_stage","TilleringInitiation Tillering PanicIenitiation"
"10",752509,169847,"drought_growth_stage","TilleringInitiation Tillering PanicIenitiation"
"11",966330,899239,"drought_growth_stage","None"
"12",312144,147892,"drought_growth_stage","Tillering PanicIenitiation BootLeafStage"
"13",231921,911982,"drought_growth_stage","Tillering Flowering"
"14",819424,971078,"drought_growth_stage","PanicIenitiation"
"15",343966,669832,"drought_growth_stage","Flowering"
"16",989604,850377,"drought_growth_stage","Tillering PanicIenitiation BootLeafStage"
"17",690123,935541,"drought_growth_stage","TilleringInitiation Tillering PanicIenitiation BootLeafStage"
"18",148434,488589,"drought_growth_stage","Tillering"
"19",601197,831773,"drought_growth_stage","None"
"20",701245,454942,"drought_growth_stage","None"
"21",866138,116809,"drought_growth_stage","PanicIenitiation"
"22",307795,984155,"drought_growth_stage","None"
"23",404340,500355,"drought_growth_stage","PanicIenitiation"
"24",650170,229467,"drought_growth_stage","None"
"25",214489,628521,"drought_growth_stage","None"
"26",271463,467651,"drought_growth_stage","Flowering"
"27",931416,491794,"drought_growth_stage","FloweringToMaturity"
"28",510023,933434,"drought_growth_stage","FloweringToMaturity"
"29",217532,947264,"drought_growth_stage","FloweringToMaturity"
"30",911722,864898,"drought_growth_stage","FloweringToMaturity"
"31",493788,228303,"drought_growth_stage","PanicIenitiation Flowering"
"32",181455,850042,"drought_growth_stage","Tillering FloweringToMaturity"
"33",987139,660169,"drought_growth_stage","FloweringToMaturity"
"34",668964,441628,"drought_growth_stage","Flowering FloweringToMaturity"
"35",619955,787382,"drought_growth_stage","None"
"36",689215,277775,"drought_growth_stage","TilleringInitiation Tillering"
"37",706764,517282,"drought_growth_stage","TilleringInitiation Tillering"
"38",890132,737870,"drought_growth_stage","Tillering"
"39",585854,203436,"drought_growth_stage","TilleringInitiation Tillering"
"40",486894,651699,"drought_growth_stage","TilleringInitiation Tillering"
"41",775358,933023,"drought_growth_stage","Tillering"
"42",216595,976571,"drought_growth_stage","FloweringToMaturity"
"43",402800,679360,"drought_growth_stage","FloweringToMaturity"
"44",837515,668058,"drought_growth_stage","None"
"45",349892,918584,"drought_growth_stage","Tillering PanicIenitiation"
"46",448625,465649,"drought_growth_stage","Tillering"
"47",884107,394224,"drought_growth_stage","Tillering"
"48",558297,723409,"drought_growth_stage","PanicIenitiation Heading_PanicleEmergence"
