"","hh_id","plot_id","variable","value"
"1",126976,647012,"name","xxxxx"
"2",872818,745005,"name","xxxxx"
"3",965954,635980,"name","xxxxx"
"4",656603,844428,"name","xxxxx"
"5",529507,457295,"name","xxxxx"
"6",319821,513004,"name","xxxxx"
"7",359000,637496,"name","xxxxx"
"8",539766,788962,"name","xxxxx"
"9",163386,760643,"name","xxxxx"
"10",752509,169847,"name","xxxxx"
"11",966330,899239,"name","xxxxx"
"12",312144,147892,"name","xxxxx"
"13",231921,911982,"name","xxxxx"
"14",819424,971078,"name","xxxxx"
"15",343966,669832,"name","xxxxx"
"16",989604,850377,"name","xxxxx"
"17",690123,935541,"name","xxxxx"
"18",148434,488589,"name","xxxxx"
"19",601197,831773,"name","xxxxx"
"20",701245,454942,"name","xxxxx"
"21",866138,116809,"name","xxxxx"
"22",307795,984155,"name","xxxxx"
"23",404340,500355,"name","xxxxx"
"24",650170,229467,"name","xxxxx"
"25",214489,628521,"name","xxxxx"
"26",271463,467651,"name","xxxxx"
"27",931416,491794,"name","xxxxx"
"28",510023,933434,"name","xxxxx"
"29",217532,947264,"name","xxxxx"
"30",911722,864898,"name","xxxxx"
"31",493788,228303,"name","xxxxx"
"32",181455,850042,"name","xxxxx"
"33",987139,660169,"name","xxxxx"
"34",668964,441628,"name","xxxxx"
"35",619955,787382,"name","xxxxx"
"36",689215,277775,"name","xxxxx"
"37",706764,517282,"name","xxxxx"
"38",890132,737870,"name","xxxxx"
"39",585854,203436,"name","xxxxx"
"40",486894,651699,"name","xxxxx"
"41",775358,933023,"name","xxxxx"
"42",216595,976571,"name","xxxxx"
"43",402800,679360,"name","xxxxx"
"44",837515,668058,"name","xxxxx"
"45",349892,918584,"name","xxxxx"
"46",448625,465649,"name","xxxxx"
"47",884107,394224,"name","xxxxx"
"48",558297,723409,"name","xxxxx"
"49",589045,602406,"name","xxxxx"
"50",612697,178658,"name","xxxxx"
"51",225120,673671,"name","xxxxx"
"52",887695,983654,"name","xxxxx"
"53",142695,975145,"name","xxxxx"
"54",649397,118389,"name","xxxxx"
"55",438040,254463,"name","xxxxx"
"56",721244,415918,"name","xxxxx"
"57",335549,233735,"name","xxxxx"
"58",385705,406454,"name","xxxxx"
"59",419515,929208,"name","xxxxx"
"60",631911,441644,"name","xxxxx"
"61",533763,625498,"name","xxxxx"
"62",138745,287346,"name","xxxxx"
"63",427202,138641,"name","xxxxx"
"64",381285,957140,"name","xxxxx"
"65",448116,753114,"name","xxxxx"
"66",226246,486041,"name","xxxxx"
"67",745946,937106,"name","xxxxx"
"68",334201,141036,"name","xxxxx"
"69",334650,829429,"name","xxxxx"
"70",875088,619920,"name","xxxxx"
"71",535288,827488,"name","xxxxx"
"72",714058,109225,"name","xxxxx"
"73",398708,838324,"name","xxxxx"
"74",964670,795036,"name","xxxxx"
"75",345462,923882,"name","xxxxx"
"76",867861,447588,"name","xxxxx"
"77",139502,235530,"name","xxxxx"
"78",332608,472852,"name","xxxxx"
"79",614229,636466,"name","xxxxx"
"80",544785,995178,"name","xxxxx"
"81",549334,402281,"name","xxxxx"
"82",675971,374447,"name","xxxxx"
"83",543646,683690,"name","xxxxx"
"84",357464,969688,"name","xxxxx"
"85",676034,785215,"name","xxxxx"
