"","hh_id","plot_id","variable","value"
"1",126976,647012,"collection_date","17-May-18"
"2",872818,745005,"collection_date","17-May-18"
"3",965954,635980,"collection_date","17-May-18"
"4",656603,844428,"collection_date","17-May-18"
"5",529507,457295,"collection_date","22-May-18"
"6",319821,513004,"collection_date","22-May-18"
"7",359000,637496,"collection_date","22-May-18"
"8",539766,788962,"collection_date","22-May-18"
"9",163386,760643,"collection_date","22-May-18"
"10",752509,169847,"collection_date","22-May-18"
"11",966330,899239,"collection_date","23-May-18"
"12",312144,147892,"collection_date","23-May-18"
"13",231921,911982,"collection_date","23-May-18"
"14",819424,971078,"collection_date","24-May-18"
"15",343966,669832,"collection_date","24-May-18"
"16",989604,850377,"collection_date","24-May-18"
"17",690123,935541,"collection_date","24-May-18"
"18",148434,488589,"collection_date","25-May-18"
"19",601197,831773,"collection_date","28-May-18"
"20",701245,454942,"collection_date","28-May-18"
"21",866138,116809,"collection_date","28-May-18"
"22",307795,984155,"collection_date","28-May-18"
"23",404340,500355,"collection_date","28-May-18"
"24",650170,229467,"collection_date","28-May-18"
"25",214489,628521,"collection_date","28-May-18"
"26",271463,467651,"collection_date","30-May-18"
"27",931416,491794,"collection_date","30-May-18"
"28",510023,933434,"collection_date","30-May-18"
"29",217532,947264,"collection_date","30-May-18"
"30",911722,864898,"collection_date","30-May-18"
"31",493788,228303,"collection_date","30-May-18"
"32",181455,850042,"collection_date","30-May-18"
"33",987139,660169,"collection_date","30-May-18"
"34",668964,441628,"collection_date","30-May-18"
"35",619955,787382,"collection_date","30-May-18"
"36",689215,277775,"collection_date","30-May-18"
"37",706764,517282,"collection_date","30-May-18"
"38",890132,737870,"collection_date","30-May-18"
"39",585854,203436,"collection_date","30-May-18"
"40",486894,651699,"collection_date","30-May-18"
"41",775358,933023,"collection_date","30-May-18"
"42",216595,976571,"collection_date","30-May-18"
"43",402800,679360,"collection_date","30-May-18"
"44",837515,668058,"collection_date","30-May-18"
"45",349892,918584,"collection_date","30-May-18"
"46",448625,465649,"collection_date","30-May-18"
"47",884107,394224,"collection_date","30-May-18"
"48",558297,723409,"collection_date","30-May-18"
"49",589045,602406,"collection_date","30-May-18"
"50",612697,178658,"collection_date","30-May-18"
"51",225120,673671,"collection_date","31-May-18"
"52",887695,983654,"collection_date","31-May-18"
"53",142695,975145,"collection_date","31-May-18"
"54",649397,118389,"collection_date","31-May-18"
"55",438040,254463,"collection_date","31-May-18"
"56",721244,415918,"collection_date","31-May-18"
"57",335549,233735,"collection_date","31-May-18"
"58",385705,406454,"collection_date","31-May-18"
"59",419515,929208,"collection_date","31-May-18"
"60",631911,441644,"collection_date","31-May-18"
"61",533763,625498,"collection_date","31-May-18"
"62",138745,287346,"collection_date","31-May-18"
"63",427202,138641,"collection_date","31-May-18"
"64",381285,957140,"collection_date","31-May-18"
"65",448116,753114,"collection_date","31-May-18"
"66",226246,486041,"collection_date","31-May-18"
"67",745946,937106,"collection_date","31-May-18"
"68",334201,141036,"collection_date","31-May-18"
"69",334650,829429,"collection_date","31-May-18"
"70",875088,619920,"collection_date","31-May-18"
"71",535288,827488,"collection_date","31-May-18"
"72",714058,109225,"collection_date","31-May-18"
"73",398708,838324,"collection_date","31-May-18"
"74",964670,795036,"collection_date","31-May-18"
"75",345462,923882,"collection_date","31-May-18"
"76",867861,447588,"collection_date","31-May-18"
"77",139502,235530,"collection_date","31-May-18"
"78",332608,472852,"collection_date","31-May-18"
"79",614229,636466,"collection_date","31-May-18"
"80",544785,995178,"collection_date","31-May-18"
"81",549334,402281,"collection_date","31-May-18"
"82",675971,374447,"collection_date","31-May-18"
"83",543646,683690,"collection_date","31-May-18"
"84",357464,969688,"collection_date","31-May-18"
"85",676034,785215,"collection_date","31-May-18"
"86",634148,328772,"collection_date","01-Jun-18"
"87",850860,249565,"collection_date","01-Jun-18"
"88",321754,933256,"collection_date","01-Jun-18"
"89",456047,561912,"collection_date","01-Jun-18"
"90",622648,134272,"collection_date","01-Jun-18"
"91",220414,567071,"collection_date","01-Jun-18"
"92",222792,782414,"collection_date","01-Jun-18"
"93",896364,984795,"collection_date","01-Jun-18"
"94",110647,314976,"collection_date","01-Jun-18"
"95",217722,581537,"collection_date","01-Jun-18"
"96",222513,590751,"collection_date","01-Jun-18"
"97",526517,123317,"collection_date","01-Jun-18"
"98",375960,433899,"collection_date","01-Jun-18"
"99",284231,675851,"collection_date","01-Jun-18"
"100",755917,315725,"collection_date","01-Jun-18"
"101",366675,538865,"collection_date","01-Jun-18"
"102",157938,308975,"collection_date","01-Jun-18"
"103",498777,890876,"collection_date","01-Jun-18"
"104",309682,787458,"collection_date","01-Jun-18"
"105",989594,860563,"collection_date","01-Jun-18"
"106",717560,663280,"collection_date","01-Jun-18"
"107",139385,829380,"collection_date","01-Jun-18"
"108",145639,368161,"collection_date","01-Jun-18"
"109",865412,225186,"collection_date","01-Jun-18"
"110",242225,573027,"collection_date","01-Jun-18"
"111",967425,152031,"collection_date","01-Jun-18"
"112",164657,972482,"collection_date","01-Jun-18"
"113",163874,176087,"collection_date","01-Jun-18"
