"","hh_id","plot_id","variable","value"
"1",126976,647012,"new_practices","None"
"2",872818,745005,"new_practices","None"
"3",965954,635980,"new_practices","None"
"4",656603,844428,"new_practices","None"
"5",529507,457295,"new_practices","NutrientManagement CropEstablishment"
"6",319821,513004,"new_practices","NutrientManagement CropEstablishment"
"7",359000,637496,"new_practices","None"
"8",539766,788962,"new_practices","CropEstablishment VarietyReplacement"
"9",163386,760643,"new_practices","NutrientManagement VarietyReplacement"
"10",752509,169847,"new_practices","NutrientManagement CropEstablishment"
"11",966330,899239,"new_practices","None"
"12",312144,147892,"new_practices","NutrientManagement CropEstablishment"
"13",231921,911982,"new_practices","NutrientManagement CropEstablishment"
"14",819424,971078,"new_practices","NutrientManagement VarietyReplacement WeedManagement"
"15",343966,669832,"new_practices","CropEstablishment"
"16",989604,850377,"new_practices","NutrientManagement CropEstablishment"
"17",690123,935541,"new_practices","NutrientManagement CropEstablishment"
"18",148434,488589,"new_practices","CropEstablishment VarietyReplacement"
"19",601197,831773,"new_practices","None"
"20",701245,454942,"new_practices","VarietyReplacement IrrigationManagement WeedManagement"
"21",866138,116809,"new_practices","None"
"22",307795,984155,"new_practices","None"
"23",404340,500355,"new_practices","None"
"24",650170,229467,"new_practices","VarietyReplacement WeedManagement"
"25",214489,628521,"new_practices","None"
"26",271463,467651,"new_practices","None"
"27",931416,491794,"new_practices","None"
"28",510023,933434,"new_practices","None"
"29",217532,947264,"new_practices","None"
"30",911722,864898,"new_practices","WeedManagement"
"31",493788,228303,"new_practices","None"
"32",181455,850042,"new_practices","None"
"33",987139,660169,"new_practices","None"
"34",668964,441628,"new_practices","None"
"35",619955,787382,"new_practices","VarietyReplacement"
"36",689215,277775,"new_practices","VarietyReplacement"
"37",706764,517282,"new_practices","NutrientManagement VarietyReplacement WeedManagement"
"38",890132,737870,"new_practices","VarietyReplacement"
"39",585854,203436,"new_practices","VarietyReplacement"
"40",486894,651699,"new_practices","VarietyReplacement"
"41",775358,933023,"new_practices","NutrientManagement VarietyReplacement"
"42",216595,976571,"new_practices","NutrientManagement"
"43",402800,679360,"new_practices","VarietyReplacement"
"44",837515,668058,"new_practices","None"
"45",349892,918584,"new_practices","None"
"46",448625,465649,"new_practices","None"
"47",884107,394224,"new_practices","None"
"48",558297,723409,"new_practices","CropEstablishment"
"49",589045,602406,"new_practices","None"
"50",612697,178658,"new_practices","None"
"51",225120,673671,"new_practices","None"
"52",887695,983654,"new_practices","None"
"53",142695,975145,"new_practices","None"
"54",649397,118389,"new_practices","None"
"55",438040,254463,"new_practices","None"
"56",721244,415918,"new_practices","None"
